,type,d,p
0,Relative Truncation,97.61428571428571,75.52142857142857
1,Relative Truncation,100.80581395348837,69.5813953488372
2,Relative Truncation,95.93205128205129,73.38717948717948
3,Relative Truncation,99.28513513513512,73.14594594594595
4,Relative Truncation,94.74074074074076,76.21481481481482
5,Relative Truncation,97.55277777777778,72.38611111111112
6,Relative Truncation,100.44814814814816,75.44444444444444
7,Relative Truncation,97.86756756756756,77.96216216216217
8,Relative Truncation,99.34857142857143,76.91714285714285
9,Relative Truncation,94.34268292682927,75.00731707317074
10,Relative Truncation,101.05,73.10512820512822
11,Relative Truncation,97.4263888888889,74.76388888888887
12,Relative Truncation,100.6546875,74.60312499999999
13,Relative Truncation,98.0054347826087,78.48260869565217
14,Relative Truncation,99.86585365853658,74.91951219512195
15,Relative Truncation,94.40576923076921,75.88076923076923
16,Relative Truncation,95.49886363636365,76.3409090909091
17,Relative Truncation,97.86,74.7725
18,Relative Truncation,104.02564102564102,78.34871794871795
19,Relative Truncation,99.56829268292682,74.41463414634147
