,rstring,convtime,visited,bestfit,bestrule
0,0,0,100,1.0,0
1,1024,1,180,1.0,0
2,67074,2,260,1.0,0
3,18434,2,260,1.0,0
4,37376,1,180,1.0,0
5,135174,2,260,1.0,0
6,16392,2,260,1.0,0
7,8200,2,260,1.0,0
8,6156,2,260,1.0,0
9,217616,2,260,1.0,0
10,1554,2,260,1.0,0
11,139283,2,260,1.0,0
12,33307,2,260,1.0,0
13,132124,2,260,1.0,0
14,130590,2,260,1.0,0
15,135201,2,260,1.0,0
16,41002,2,260,1.0,0
17,23088,2,260,1.0,0
18,121919,2,260,1.0,0
19,2112,2,260,1.0,0
20,66,1,180,1.0,0
21,164420,2,260,1.0,0
22,133190,2,260,1.0,0
23,259675,2,260,1.0,0
24,96,1,180,1.0,0
25,61546,2,260,1.0,0
26,245879,2,260,1.0,0
27,76415,2,260,1.0,0
28,158336,2,260,1.0,0
29,34432,2,260,1.0,0
30,217227,2,260,1.0,0
31,245904,2,260,1.0,0
32,49297,2,260,1.0,0
33,1184,2,260,1.0,0
34,66730,30,2500,1.0,256
35,228022,2,260,1.0,0
36,179384,2,260,1.0,0
37,89785,2,260,1.0,0
38,181950,2,260,1.0,0
39,229055,2,260,1.0,0
40,77503,2,260,1.0,0
41,253631,2,260,1.0,0
42,212164,2,260,1.0,0
43,253647,2,260,1.0,0
44,71888,2,260,1.0,0
45,261839,2,260,1.0,0
46,20181,2,260,1.0,0
47,245759,2,260,1.0,0
48,175837,2,260,1.0,0
49,182494,2,260,1.0,0
50,131806,2,260,1.0,0
51,45284,2,260,1.0,0
52,253439,2,260,1.0,0
53,190189,30,2500,1.0,256
54,173305,2,260,1.0,0
55,179454,2,260,1.0,0
56,261375,2,260,1.0,0
57,233728,2,260,1.0,0
58,1280,2,260,1.0,0
59,228095,2,260,1.0,0
60,778,2,260,1.0,0
61,103696,2,260,1.0,0
62,69407,2,260,1.0,0
63,89382,2,260,1.0,0
64,52008,2,260,1.0,0
65,258875,2,260,1.0,0
66,148290,2,260,1.0,0
67,217430,2,260,1.0,0
68,257899,2,260,1.0,0
69,74101,2,260,1.0,0
70,174969,2,260,1.0,0
71,159743,2,260,1.0,0
72,241535,2,260,1.0,0
73,262015,2,260,1.0,0
74,253311,2,260,1.0,0
75,153988,2,260,1.0,0
76,262033,2,260,1.0,0
77,51097,2,260,1.0,0
78,262043,2,260,1.0,0
79,130971,2,260,1.0,0
80,241567,2,260,1.0,0
81,190374,30,2500,1.0,256
82,261548,2,260,1.0,0
83,227774,2,260,1.0,0
84,262079,2,260,1.0,0
85,229311,2,260,1.0,0
86,156607,2,260,1.0,0
87,100802,2,260,1.0,0
88,131007,2,260,1.0,0
89,262111,2,260,1.0,0
90,89567,2,260,1.0,0
91,66026,2,260,1.0,0
92,240622,2,260,1.0,0
93,113647,2,260,1.0,0
94,262127,2,260,1.0,0
95,110578,2,260,1.0,0
96,131070,2,260,1.0,0
97,262143,2,260,1.0,0
98,253950,2,260,1.0,0
99,258047,2,260,1.0,0
