,t,f,k
0,0,0.061059331129009305,0.042671012367214836
1,1,0.08575047694120158,0.07254519004787549
2,2,0.08365917196485202,0.07045388507152593
3,3,0.16205593840548177,0.04018307831089707
4,4,0.15831518398294872,0.040866598519473094
5,5,0.15950056437851992,0.045387058797457275
6,6,0.1662117780233154,0.04793764561057874
7,7,0.15793379774941702,0.04497374074933938
8,8,0.17099032120656904,0.04618771436186027
9,9,0.16649060255395304,0.04003982258639381
10,10,0.16000537886426078,0.04265828332323588
11,11,0.15943934858722203,0.04114879596371568
12,12,0.16152625332552098,0.042516119654112824
13,13,0.16153166730057214,0.0448446842660701
14,14,0.15767782933585753,0.04405020490997569
15,15,0.15771700324822766,0.04394512812857847
16,16,0.15812007394370525,0.048575627629965416
17,17,0.16715205401217392,0.050748360188944436
18,18,0.15530280650912312,0.043260735469342594
19,19,0.1587488660678954,0.04815233783145419
20,20,0.1578905905520059,0.04471643664754845
21,21,0.15165888267527722,0.04204491976196905
22,22,0.15881128760527136,0.046555392853005285
23,23,0.1541080018483001,0.04238477390833861
24,24,0.15678387677020694,0.04438819767199763
25,25,0.15920561784687873,0.046365261895111365
26,26,0.16586304788033537,0.052573979907951596
27,27,0.1542454357707674,0.04339842196553282
28,28,0.15524254653516362,0.04512036638352458
29,29,0.15627166611803311,0.047061367058526
30,30,0.1552588136480055,0.04910856563099719
