,fitness,num_inds
0,0.656411763443358,50
1,0.7241207173312671,49
2,0.7855980427593623,49
3,0.8315868843166637,48
4,0.8585086358140557,49
5,0.8846867566027722,44
6,0.9099254432091346,40
7,0.9198547825872044,41
8,0.9491800705804612,28
9,0.9632452976710789,22
10,0.9735048350087413,19
11,0.9824689311339702,10
12,0.9779963994338994,12
13,0.9810284139959433,10
14,0.9853930726120668,9
15,0.9904416464069784,8
16,0.9953891379616477,6
17,0.9952306576886655,5
18,0.9969304517097486,5
19,0.9964520415294341,5
20,0.9983957230920122,3
21,0.9995279720279721,2
22,0.9988330614697802,4
23,0.9946067653050075,8
24,0.9966785567947677,6
25,0.9993348129734848,3
26,0.9996886160714286,2
27,0.9991439895553665,3
28,0.9991986099837662,3
29,1.0,1
30,1.0,1
